"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,50.5484777281527,5.3959372885007
"2",2022-03-08 00:00:05,1,303,100,50.8319169882768,5.51518906228002
"3",2022-03-08 00:00:10,1,303,100,50.9422744305978,5.42735153768689
"4",2022-03-08 00:00:15,1,303,100,51.7981779181141,5.44711214935815
"5",2022-03-08 00:00:20,1,303,100,50.9555751514419,5.52045041872785
"6",2022-03-08 00:00:25,1,303,100,50.7407529553637,5.57256212525429
"7",2022-03-08 00:00:30,1,303,100,51.1794717556022,6.05092239639128
"8",2022-03-08 00:00:35,1,303,100,50.4202062190563,5.23958925339967
"9",2022-03-08 00:00:40,1,303,100,49.7820911617826,5.32314082283438
"10",2022-03-08 00:00:45,1,303,100,50.9836525091518,5.70622673975108
"11",2022-03-08 00:00:50,1,303,100,53.4822766925783,5.13627987143948
"12",2022-03-08 00:00:55,1,303,100,49.1622244013186,5.61049654704987
"13",2022-03-08 00:01:00,1,303,100,51.0573372441269,5.35967003266956
"14",2022-03-08 00:01:05,1,303,100,50.5861663580847,5.44434228321275
"15",2022-03-08 00:01:10,1,303,100,51.3733814679175,5.40123712065965
"16",2022-03-08 00:01:15,1,303,100,53.0550506994617,5.61665549555475
"17",2022-03-08 00:01:20,1,303,100,52.301677282094,5.4686835429628
"18",2022-03-08 00:01:25,1,303,100,51.8809377937426,6.03741742045197
"19",2022-03-08 00:01:30,1,303,100,51.0997384876287,5.56101186156599
"20",2022-03-08 00:01:35,1,303,100,51.6327115389999,5.27181536640474
"21",2022-03-08 00:01:40,1,303,100,51.5982968030462,5.41807510268685
"22",2022-03-08 00:01:45,1,303,100,52.1169077392612,5.64854255927466
"23",2022-03-08 00:01:50,1,303,100,51.1612092076813,5.67562459999043
"24",2022-03-08 00:01:55,1,303,100,49.8479972734992,5.82207739100244
"25",2022-03-08 00:02:00,1,303,100,50.5876350286732,5.61534269823411
"26",2022-03-08 00:02:05,1,303,100,50.1481932465943,5.41235735298269
"27",2022-03-08 00:02:10,1,303,100,49.8301540035006,5.39026606601529
"28",2022-03-08 00:02:15,1,303,100,49.9863970272058,5.35332886118971
"29",2022-03-08 00:02:20,1,303,100,51.3133497014678,5.76369957104673
"30",2022-03-08 00:02:25,1,303,100,51.4458034145935,5.57610478234014
"31",2022-03-08 00:02:30,1,303,100,49.2410528311937,5.31530279759497
"32",2022-03-08 00:02:35,1,303,100,50.3044397170112,6.0513703153605
"33",2022-03-08 00:02:40,1,303,100,51.1485781841534,5.4288167277946
"34",2022-03-08 00:02:45,1,303,100,52.6925116411665,5.70583925454899
"35",2022-03-08 00:02:50,1,303,100,52.6952092556941,5.76830131738586
"36",2022-03-08 00:02:55,1,303,100,50.6605863412069,5.65081020016677
"37",2022-03-08 00:03:00,1,303,100,50.42701380688,5.55799976924702
"38",2022-03-08 00:03:05,1,303,100,50.3878159338866,5.53079383702416
"39",2022-03-08 00:03:10,1,303,100,50.0854883968952,5.63235155618734
"40",2022-03-08 00:03:15,1,303,100,50.3308213997376,5.80351141308889
"41",2022-03-08 00:03:20,1,303,100,52.067211835504,5.66549353333374
"42",2022-03-08 00:03:25,1,303,100,50.9701863237553,5.5155988141986
"43",2022-03-08 00:03:30,1,303,100,51.6398786104726,5.28788389190819
"44",2022-03-08 00:03:35,1,303,100,52.8612816382533,5.8528792406755
"45",2022-03-08 00:03:40,1,303,100,51.7068278560261,5.65221082974825
"46",2022-03-08 00:03:45,1,303,100,50.7972030679443,5.34537973494095
"47",2022-03-08 00:03:50,1,303,100,52.0086625958838,5.14488493310958
"48",2022-03-08 00:03:55,1,303,100,51.4064922677668,5.2569730791293
"49",2022-03-08 00:04:00,1,303,100,50.7523803902656,5.98542871540297
"50",2022-03-08 00:04:05,1,303,100,51.4710191300026,5.58741426177804
"51",2022-03-08 00:04:10,1,303,100,50.6883070316828,5.38518054558524
"52",2022-03-08 00:04:15,1,303,100,50.8313799307592,5.44589581085826
"53",2022-03-08 00:04:20,1,303,100,50.5497832478388,5.81319116418089
"54",2022-03-08 00:04:25,1,303,100,50.4863532799141,5.62250041725694
"55",2022-03-08 00:04:30,1,303,100,50.8847940179831,5.83403454957523
"56",2022-03-08 00:04:35,1,303,100,51.9349592814417,5.89594152686327
"57",2022-03-08 00:04:40,1,303,100,50.458875140916,5.83639989492037
"58",2022-03-08 00:04:45,1,303,100,51.1351859537777,5.83319616943978
"59",2022-03-08 00:04:50,1,303,100,51.8411444982457,5.49042038733727
"60",2022-03-08 00:04:55,1,303,100,51.056742622872,5.4787506262196
